Year,Month,Minimum,Tier 1,Tier 2,Maximum
2011,6,$1.95,$0.30,$0.27,$5.00
2011,7,$1.95,$0.30,$0.27,$5.00
2011,8,$1.95,$0.30,$0.27,$5.00
2011,9,$1.95,$0.30,$0.27,$5.00
2011,10,$1.95,$0.30,$0.27,$5.00
2011,11,$1.95,$0.30,$0.27,$5.00
2011,12,$1.95,$0.30,$0.27,$5.00
2012,1,$1.95,$0.30,$0.27,$5.00
2012,2,$1.95,$0.30,$0.27,$5.00
2012,3,$1.95,$0.30,$0.27,$5.00
2012,4,$1.95,$0.30,$0.27,$5.00
2012,5,$1.95,$0.30,$0.27,$5.00
2012,6,$1.95,$0.30,$0.27,$5.00
2012,7,$2.10,$0.32,$0.28,$5.75
2012,8,$2.10,$0.32,$0.28,$5.75
2012,9,$2.10,$0.32,$0.28,$5.75
2012,10,$2.10,$0.32,$0.28,$5.75
2012,11,$2.10,$0.32,$0.28,$5.75
2012,12,$2.10,$0.32,$0.28,$5.75
2013,1,$2.10,$0.32,$0.28,$5.75
2013,2,$2.10,$0.32,$0.28,$5.75
2013,3,$2.10,$0.32,$0.28,$5.75
2013,4,$2.10,$0.32,$0.28,$5.75
2013,5,$2.10,$0.32,$0.28,$5.75
2013,6,$2.10,$0.32,$0.28,$5.75
2013,7,$2.10,$0.32,$0.28,$5.75
2013,8,$2.10,$0.32,$0.28,$5.75
2013,9,$2.10,$0.32,$0.28,$5.75
2013,10,$2.10,$0.32,$0.28,$5.75
2013,11,$2.10,$0.32,$0.28,$5.75
2013,12,$2.10,$0.32,$0.28,$5.75
2014,1,$2.10,$0.32,$0.28,$5.75
2014,2,$2.10,$0.32,$0.28,$5.75
2014,3,$2.10,$0.32,$0.28,$5.75
2014,4,$2.10,$0.32,$0.28,$5.75
2014,5,$2.10,$0.32,$0.28,$5.75
2014,6,$2.10,$0.32,$0.28,$5.75
2014,7,$2.15,$0.33,$0.29,$5.90
2014,8,$2.15,$0.33,$0.29,$5.90
2014,9,$2.15,$0.33,$0.29,$5.90
2014,10,$2.15,$0.33,$0.29,$5.90
2014,11,$2.15,$0.33,$0.29,$5.90
2014,12,$2.15,$0.33,$0.29,$5.90
2015,1,$2.15,$0.33,$0.29,$5.90
2015,2,$2.15,$0.33,$0.29,$5.90
2015,3,$2.15,$0.33,$0.29,$5.90
